2024-01-05  [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=181|52=20240105-08:18:33|10=096|
2024-01-05 09:30:58.354 [33] [FixSender] (WARNING) Disconnected
2024-01-05 09:32:37.366 [42] [FixSender] (INFO) try to connect to : localhost port :12345
2024-01-05 09:32:37.368 [42] [FixSender] (INFO) physical cnx initiated
2024-01-05 09:32:37.373 [42] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=88|35=A|49=FIXCLIENT1|56=DMA_HUB|34=209|52=20240105-08:32:37|98=0|108=30|95=9|96=null/null|10=197|
2024-01-05 09:32:37.374 [42] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=72|35=A|34=2|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:32:37.373|108=30|98=0|10=233|
2024-01-05 09:32:37.375 [42] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=110|35=5|49=FIXCLIENT1|56=DMA_HUB|34=210|52=20240105-08:32:37|58=MsgSeqNum expected 223, but MsgSeqNum received 2|10=199|
2024-01-05 09:32:37.376 [42] [FixSender] (INFO) physical cnx finished Connection reset by peer
2024-01-05 09:32:37.376 [42] [FixSender] (WARNING) Disconnected
2024-01-05 09:32:39.465 [46] [FixSender] (INFO) try to connect to : localhost port :12345
2024-01-05 09:32:39.466 [46] [FixSender] (INFO) physical cnx initiated
2024-01-05 09:32:39.470 [46] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=86|35=A|49=FIXCLIENT1|56=DMA_HUB|34=1|52=20240105-08:32:39|98=0|108=30|95=9|96=null/null|10=091|
2024-01-05 09:32:39.471 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=72|35=A|34=5|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:32:39.470|108=30|98=0|10=236|
2024-01-05 09:32:39.471 [46] [FixSender] (WARNING) The Fix connection is open...
2024-01-05 09:32:39.474 [46] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=65|35=2|49=FIXCLIENT1|56=DMA_HUB|34=2|52=20240105-08:32:39|7=1|16=0|10=117|
2024-01-05 09:32:39.476 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=318|35=8|34=1|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:32:39.476|43=Y|122=20240105-08:31:10.042|11=HS_17043822341|37=FXY4ix0FS|198=qm2cxe592e|54=2|32=4228|31=147|58=resync|17=202401051|527=Aqm2cx1|150=F|39=2|38=4228|151=0|14=4228|6=147|44=10|60=20240104-15:49:42.189|55=E:07G@XETR|453=1|448=strmrepl|447=D|452=17|40=2|59=0|10=123|
2024-01-05 09:32:39.476 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=102|35=4|34=2|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:32:39.476|43=Y|122=20240105-08:32:39.476|36=6|123=Y|10=005|
2024-01-05 09:32:40.523 [49] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=196|35=D|49=FIXCLIENT1|56=DMA_HUB|34=3|52=20240105-08:32:40|21=1|11=HS_17044435605|38=4029|55=E:07G@XETR|54=2|60=20240105-08:32:40|40=2|59=0|44=197.111|48=US3390411052|22=4|15=EUR|207=XETR|1=bram_123|10=022|
2024-01-05 09:32:40.531 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=238|35=8|34=6|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:32:40.528|11=HS_17044435605|37=FXPiSVCwF|54=2|40=2|59=0|17=202401052|150=A|39=A|38=4029|151=4029|14=0|6=0|44=197.111|60=20240105-08:32:40.000|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=172|
2024-01-05 09:32:54.379 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=233|35=8|34=7|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:32:54.378|11=HS_17044435605|37=FXPiSVCwF|54=2|40=2|59=0|17=202401053|150=A|39=A|38=4029|151=4029|14=0|6=0|44=10|60=20240105-08:32:40.000|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=176|
2024-01-05 09:32:54.383 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=249|35=8|34=8|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:32:54.383|11=HS_17044435605|37=FXPiSVCwF|198=qm2cx30ca32|54=2|40=2|59=0|17=202401054|150=0|39=0|38=4029|151=4029|14=0|6=0|44=10|60=20240105-08:32:54.381|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=251|
2024-01-05 09:32:54.387 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=310|35=8|34=9|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:32:54.386|11=HS_17044435605|37=FXPiSVCwF|198=qm2cx30ca32|54=2|32=4029|31=114|17=202401055|527=Aqm2cx2|150=F|39=2|38=4029|151=0|14=4029|6=114|44=10|60=20240105-08:32:54.381|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|453=1|448=strmrepl|447=D|452=17|40=2|59=0|10=027|
2024-01-05 09:33:09.447 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=10|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:33:09.446|10=237|
2024-01-05 09:33:10.524 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=56|35=0|49=FIXCLIENT1|56=DMA_HUB|34=4|52=20240105-08:33:10|10=240|
2024-01-05 09:33:39.404 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=11|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:33:39.403|10=234|
2024-01-05 09:33:40.534 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=56|35=0|49=FIXCLIENT1|56=DMA_HUB|34=5|52=20240105-08:33:40|10=244|
2024-01-05 09:34:09.346 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=12|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:34:09.345|10=238|
2024-01-05 09:34:10.535 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=56|35=0|49=FIXCLIENT1|56=DMA_HUB|34=6|52=20240105-08:34:10|10=243|
2024-01-05 09:34:39.298 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=13|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:34:39.298|10=249|
2024-01-05 09:34:40.538 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=56|35=0|49=FIXCLIENT1|56=DMA_HUB|34=7|52=20240105-08:34:40|10=247|
2024-01-05 09:35:09.262 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=14|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:35:09.262|10=239|
2024-01-05 09:35:10.541 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=56|35=0|49=FIXCLIENT1|56=DMA_HUB|34=8|52=20240105-08:35:10|10=246|
2024-01-05 09:35:39.199 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=15|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:35:39.199|10=252|
2024-01-05 09:35:40.542 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=56|35=0|49=FIXCLIENT1|56=DMA_HUB|34=9|52=20240105-08:35:40|10=250|
2024-01-05 09:36:09.162 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=16|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:36:09.161|10=240|
2024-01-05 09:36:10.546 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=10|52=20240105-08:36:10|10=033|
2024-01-05 09:36:39.107 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=17|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:36:39.107|10=244|
